0|1|2|3|5
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Director del Registro Nacional de las Personas
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Director Departamental de Educación
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Director Empresa Gubernamental de Correos
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|"Director, 
gerente, 
subgerente, 
administrador 
de 
empresas"
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|centralizadas, autónomas y semi autónoma
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Fiscal Adjunto de la República
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Gerente de Empresa Estatal
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Inspector General de Policía Nacional
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Inspector General de trabajo empresa gubernamental
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Delegado de Administración Tributaria
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Jefe de Catastro Municipal
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Jefe de Desarrollo Comunitario (COCODE, COMUDE)
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Magistrado de la Corte Suprema de Justicia
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Miembro del Cuerpo Diplomático Acreditado en el Exterior
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Miembro del Cuerpo Diplomático Acreditado en el País
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Presidente de la Comisión Nacional de Banca y Seguros
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Presidente de la Corte Suprema de Justicia
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Presidente del Banco de Guatemala
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Secretario de Embajada
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Secretario Departamental de Educación
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Secretario Ejecutivo de Organización o Institución del Gobierno
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Secretario General de Instituciones Estatales
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Secretario Municipal
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Sub-Comisionado General de la Policía Nacional
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Sub-Director de Centros Penales
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Sub-Director de Empresa Estatal de Correos
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Sub-Director de Policía Nacional
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Sub-Director del Registro Nacional de las Personas
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Sub-Director de Delegación Regional del Estado
Directores y gerentes||Miembros del poder ejecutivo y de los cuerpos legislativos|Personal directivo de la administración pública|Sub-Gerente de Empresa Estatal
